latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
40.73124,-124.00435,295.3,0.41,0.45,2017-11-30,1039,N,VIIRS,n,1,276.8,0.3,0
40.64605,-123.88713,336.2,0.44,0.38,2018-04-25,2124,N,VIIRS,n,1,301.9,6.4,0
39.94927,-120.95713,326.1,0.43,0.38,2017-11-06,2112,N,VIIRS,n,1,276.5,3.5,0
39.65937,-121.01781,327.8,0.38,0.36,2017-11-28,2059,N,VIIRS,n,1,277.7,2.1,0
39.69487,-121.00845,331.8,0.38,0.36,2017-11-28,2059,N,VIIRS,n,1,276.4,2.5,0
39.69951,-120.999,316.3,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,273.2,2.9,0
39.67944,-120.9952,305.9,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,274.9,2.8,0
39.67498,-121.00217,302.1,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,274.4,1.9,0
39.69501,-120.99912,299.2,0.53,0.67,2017-11-29,1058,N,VIIRS,n,1,273.6,1,0
39.67144,-120.9878,301.4,0.53,0.67,2017-11-29,1058,N,VIIRS,n,1,274.7,1.2,0
39.98426,-120.8657,341.7,0.57,0.43,2018-04-25,2123,N,VIIRS,n,1,302.6,28.7,0
39.98888,-120.86015,353.6,0.57,0.43,2018-04-25,2123,N,VIIRS,n,1,313.7,28.7,0
39.99283,-120.86117,355.9,0.57,0.43,2018-04-25,2123,N,VIIRS,n,1,304.5,27.7,0
39.9968,-120.86215,347.5,0.57,0.43,2018-04-25,2123,N,VIIRS,n,1,301.8,27.7,0
40.11301,-120.95744,348.6,0.39,0.36,2018-02-21,2104,N,VIIRS,n,1,285,20.2,3
40.11634,-120.95817,348.8,0.39,0.36,2018-02-21,2104,N,VIIRS,n,1,279.9,20.2,3
40.78756,-122.14378,335.6,0.61,0.71,2018-02-14,1956,N,VIIRS,n,1,281.9,11.4,0
40.7807,-122.16542,329.1,0.61,0.71,2018-02-14,1956,N,VIIRS,n,1,280.7,6.8,3
40.76554,-122.12884,337.6,0.48,0.48,2018-02-14,2136,N,VIIRS,n,1,287.4,11.9,3
40.78105,-122.13421,337.6,0.48,0.48,2018-02-14,2136,N,VIIRS,n,1,286.6,9.4,0
40.78058,-122.14031,325.5,0.48,0.48,2018-02-14,2136,N,VIIRS,n,1,287.1,5.6,0
40.78413,-122.15266,329.6,0.48,0.48,2018-02-14,2136,N,VIIRS,n,1,285,4.4,0
40.78951,-122.14151,325.9,0.48,0.48,2018-02-14,2136,N,VIIRS,n,1,286.8,3.9,0
40.77906,-122.14851,301.2,0.41,0.37,2018-02-15,0955,N,VIIRS,n,1,276.8,0.9,0
40.77165,-122.14545,315.9,0.41,0.37,2018-02-15,0955,N,VIIRS,n,1,277.7,1.7,0
40.77034,-122.13593,310.5,0.41,0.37,2018-02-15,0955,N,VIIRS,n,1,276.2,0.6,3
40.76894,-122.15108,295.8,0.41,0.37,2018-02-15,0955,N,VIIRS,n,1,276.5,0.8,0
40.76632,-122.13209,297.2,0.41,0.37,2018-02-15,0955,N,VIIRS,n,1,276.1,0.6,3
40.76613,-122.2066,326,0.41,0.37,2018-02-15,0955,N,VIIRS,n,1,277.7,2.4,3
40.75704,-122.14056,338.8,0.45,0.39,2018-02-15,2117,N,VIIRS,n,1,289,11,3
40.77116,-122.144,328.2,0.45,0.39,2018-02-15,2117,N,VIIRS,n,1,289.2,7.4,0
40.77561,-122.14822,327.4,0.39,0.36,2018-02-16,2058,N,VIIRS,n,1,284.5,2.3,0
40.77891,-122.14912,330.5,0.39,0.36,2018-02-16,2058,N,VIIRS,n,1,286.7,2.3,0
40.77924,-122.15531,295,0.36,0.57,2018-02-17,0917,N,VIIRS,n,1,279.8,0.4,0
40.76823,-122.14953,295.6,0.36,0.57,2018-02-17,0917,N,VIIRS,n,1,278.9,0.7,0
40.76294,-122.15083,295.6,0.36,0.57,2018-02-17,0917,N,VIIRS,n,1,277.1,0.3,0
40.76531,-122.1469,340.5,0.54,0.42,2018-02-17,2040,N,VIIRS,n,1,295.1,20.2,0
40.76417,-122.15201,340.8,0.4,0.44,2018-02-25,2130,N,VIIRS,n,1,268.7,8.9,0
40.76867,-122.14822,346,0.4,0.44,2018-02-25,2130,N,VIIRS,n,1,267.6,20.6,0
40.76823,-122.15298,343.9,0.4,0.44,2018-02-25,2130,N,VIIRS,n,1,265.4,9.9,0
40.77187,-122.15858,345.3,0.4,0.44,2018-02-25,2130,N,VIIRS,n,1,269,9.9,0
40.77592,-122.15958,367,0.4,0.44,2018-02-25,2130,N,VIIRS,l,1,271.7,12.1,0
40.87691,-122.63083,295.1,0.54,0.42,2017-11-17,0943,N,VIIRS,n,1,271.3,0.3,0
40.76733,-121.54469,335.6,0.39,0.44,2018-01-11,2034,N,VIIRS,n,1,281.2,4.5,0
40.81337,-123.02579,295.6,0.42,0.38,2017-10-10,0955,N,VIIRS,n,1,283.5,0.5,0
40.8203,-123.02696,323.1,0.44,0.46,2017-10-11,0936,N,VIIRS,n,1,278.2,3,0
40.81607,-123.02829,327.1,0.44,0.46,2017-10-11,0936,N,VIIRS,n,1,277.5,3.8,0
40.81839,-123.02341,340.3,0.4,0.37,2017-10-11,2059,N,VIIRS,n,1,288.8,6.6,0
40.81971,-123.03198,295.4,0.39,0.6,2017-10-12,0918,N,VIIRS,n,1,275.4,1.5,0
40.81571,-123.03333,305.8,0.39,0.6,2017-10-12,0918,N,VIIRS,n,1,275.6,1.5,0
40.8167,-123.02605,297.8,0.39,0.59,2017-10-12,1058,N,VIIRS,n,1,273.8,2.4,0
40.81629,-123.03156,343.1,0.39,0.44,2017-10-12,2041,N,VIIRS,n,1,289.9,5.2,0
40.81969,-123.02136,313.3,0.45,0.47,2017-10-13,1039,N,VIIRS,n,1,276.2,1.1,0
40.8145,-123.01859,307.5,0.45,0.47,2017-10-13,1039,N,VIIRS,n,1,274.6,1.5,0
40.81576,-123.01503,336.3,0.47,0.64,2017-10-13,2202,N,VIIRS,n,1,287.9,12.5,0
40.81767,-123.01474,295.4,0.43,0.38,2017-10-14,1020,N,VIIRS,n,1,275.4,0.7,0
40.81962,-123.02978,328.8,0.39,0.36,2017-10-15,1002,N,VIIRS,n,1,281.9,2.7,0
40.81701,-123.03549,322.1,0.39,0.36,2017-10-15,1002,N,VIIRS,n,1,281,1.4,0
40.81631,-123.03071,302.2,0.39,0.36,2017-10-15,1002,N,VIIRS,n,1,280.4,1.4,0
40.81699,-123.03458,316.6,0.77,0.77,2017-10-16,1123,N,VIIRS,n,1,280.4,5.2,0
40.82005,-123.0314,314.6,0.77,0.78,2017-10-16,1123,N,VIIRS,n,1,281.3,2.6,0
40.81509,-123.03292,327.9,0.38,0.36,2017-10-16,2106,N,VIIRS,l,1,299.9,4.8,0
40.81566,-123.03577,334.1,0.5,0.41,2017-10-17,2047,N,VIIRS,n,1,297.7,9.8,0
40.81963,-123.02034,298.1,0.57,0.69,2017-10-18,0905,N,VIIRS,n,1,280.1,1.5,0
40.81586,-123.01176,330.4,0.54,0.51,2017-10-18,1045,N,VIIRS,n,1,281.2,2.5,0
40.82068,-123.03117,304.2,0.54,0.51,2017-10-18,1045,N,VIIRS,n,1,282.9,2.1,0
40.81727,-123.03746,314.6,0.54,0.51,2017-10-18,1045,N,VIIRS,n,1,283.7,3.7,0
40.81385,-123.0407,328.4,0.55,0.51,2017-10-18,2028,N,VIIRS,n,1,296.1,2.9,0
